timestamp,Basel Temperature [2 m elevation corrected],Basel Temperature [1000 mb],Basel Temperature [850 mb],Basel Relative Humidity [2 m],Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20180407T2100,18.07053,21.8,12.36,59.0,12.10157,120.37913
20180407T2200,15.510529,20.36,12.05,59.0,9.957108,139.39871
20180407T2300,13.370529,19.35,12.19,49.0,8.287822,145.61966
20180408T0000,11.910529,18.65,11.85,54.0,6.989936,145.49147
20180408T0100,11.010529,17.82,12.02,57.0,6.4096174,141.84277
20180408T0200,10.870529,16.95,11.92,57.0,8.435069,129.80557
20180408T0300,11.3005295,15.33,11.83,49.0,11.019764,128.36748
20180408T0400,11.000529,14.67,11.38,47.0,13.281023,122.828545
20180408T0500,9.870529,13.66,11.29,51.0,13.479583,124.11447
20180408T0600,9.040529,13.01,11.29,57.0,13.584932,122.00538
20180408T0700,8.700529,12.46,11.18,63.0,14.081477,122.47119
20180408T0800,9.680529,12.43,11.41,60.0,13.397612,120.69972
20180408T0900,11.950529,13.36,11.55,57.0,14.707222,111.54097
20180408T1000,14.860529,15.4,11.71,50.0,16.78156,112.71441
20180408T1100,17.64053,17.95,11.93,47.0,16.965895,107.281494
20180408T1200,19.850529,19.98,12.11,40.0,18.64369,100.00798
20180408T1300,21.47053,21.51,12.22,36.0,20.969805,101.88866
20180408T1400,22.15053,22.13,12.53,39.0,20.176065,105.5241
20180408T1500,23.030529,23.08,11.56,37.0,19.930477,110.071526
20180408T1600,23.350529,23.56,11.88,36.0,19.386593,111.80141
20180408T1700,23.39053,23.83,11.85,34.0,17.309973,106.92751
20180408T1800,22.98053,23.74,12.13,34.0,15.893093,103.09189
20180408T1900,21.680529,22.95,12.3,40.0,13.339445,86.90593
20180408T2000,19.37053,21.47,12.11,55.0,11.525623,75.52971
20180408T2100,16.57053,18.66,11.62,62.0,9.36,89.99999
20180408T2200,14.590529,17.26,11.3,66.0,9.346143,105.64224
20180408T2300,13.140529,16.67,11.01,71.0,13.1041975,105.9454
20180409T0000,11.480529,15.85,10.92,67.0,14.917212,109.746826
20180409T0100,10.110529,15.57,10.82,61.0,12.904882,112.98871
20180409T0200,9.910529,15.81,10.65,55.0,11.090103,125.75388
20180409T0300,9.160529,15.0,9.84,58.0,13.37825,113.80594
20180409T0400,8.080529,13.72,9.05,64.0,12.43434,112.10944
20180409T0500,7.6405287,13.7,9.32,63.0,11.91812,115.01689
20180409T0600,8.220529,13.73,9.39,59.0,11.457958,133.72697
20180409T0700,8.360529,14.84,9.42,59.0,11.503113,110.1363
20180409T0800,9.310529,14.42,9.19,61.0,9.826088,118.442924
20180409T0900,10.400529,14.24,8.69,65.0,12.074766,116.56505
20180409T1000,13.730529,15.24,9.22,55.0,10.966713,113.19859
20180409T1100,16.62053,17.17,9.16,47.0,14.4,126.869896
20180409T1200,18.14053,18.44,8.52,38.0,15.629971,118.92642
20180409T1300,17.45053,18.0,8.12,46.0,15.509274,111.80141
20180409T1400,19.940529,19.82,7.76,55.0,7.2359104,275.7106
20180409T1500,20.30053,20.12,7.66,52.0,13.237039,292.38013
20180409T1600,19.23053,19.84,7.52,53.0,14.081478,274.3987
20180409T1700,18.440529,19.3,7.09,54.0,14.417988,267.1376
20180409T1800,17.64053,18.67,6.86,57.0,13.441071,277.69604
20180409T1900,16.97053,18.12,6.76,60.0,8.854829,296.56506
20180409T2000,16.20053,17.77,7.0,65.0,6.193674,324.46234
20180409T2100,15.650529,17.44,6.83,68.0,2.2768397,341.56506
20180409T2200,15.580529,17.16,6.59,67.0,1.609969,116.56505
20180409T2300,15.400529,16.94,6.6,66.0,2.8116899,140.19443
20180410T0000,14.700529,16.73,6.76,70.0,5.6002855,135.0
20180410T0100,13.930529,16.5,7.02,76.0,6.1305785,139.76364
20180410T0200,13.310529,16.22,6.65,78.0,4.5536795,161.56505
20180410T0300,12.480529,15.66,6.3,79.0,3.4152596,198.43495
20180410T0400,11.370529,14.13,6.12,83.0,4.802999,77.00538
20180410T0500,10.770529,13.19,5.61,85.0,7.9036193,239.93141
20180410T0600,10.780529,13.12,5.16,81.0,4.6102495,231.3402
20180410T0700,10.710529,12.6,4.87,83.0,3.9763298,185.19443
20180410T0800,10.870529,12.28,4.65,84.0,2.5959969,213.69006
20180410T0900,10.980529,12.09,4.53,83.0,1.484318,284.03625
20180410T1000,11.140529,12.18,4.34,83.0,6.9899354,258.11133
20180410T1100,11.620529,12.44,3.71,77.0,11.043261,289.0256
20180410T1200,11.140529,11.95,2.23,81.0,11.720751,317.48956
20180410T1300,12.460529,13.32,1.94,63.0,7.2,233.1301
20180410T1400,14.630529,15.18,5.17,69.0,21.175837,324.68878
20180410T1500,15.490529,15.32,4.81,63.0,22.148046,314.34146
20180410T1600,14.280529,14.97,3.96,67.0,18.359999,298.0725
20180410T1700,13.580529,13.53,3.47,66.0,24.482647,269.15747
20180410T1800,11.540529,12.17,2.92,75.0,23.452555,252.1213
20180410T1900,10.3005295,10.89,2.76,70.0,13.339445,273.09406
20180410T2000,9.810529,10.62,3.97,72.0,3.6,360.0
