location,Hyderabad,Hyderabad,Hyderabad,Hyderabad,Hyderabad,Hyderabad
lat,17.39359,17.39359,17.39359,17.39359,17.39359,17.39359
lon,78.46420,78.46420,78.46420,78.46420,78.46420,78.46420
asl,521.600,521.600,521.600,521.600,521.600,521.600
variable,Temperature,Precipitation Total,Relative Humidity,Mean Sea Level Pressure,Wind Speed,Wind Gust
unit,°C,mm,%,hPa,km/h,km/h
level,2 m elevation corrected,sfc,2 m,MSL,10 m,sfc
resolution,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None
timestamp,Hyderabad Temperature [2 m elevation corrected],Hyderabad Precipitation Total,Hyderabad Relative Humidity [2 m],Hyderabad Mean Sea Level Pressure [MSL],Hyderabad Wind Speed [10 m],Hyderabad Wind Gust
20211006T0100,23.7629,0.0,88.0,1008.7,7.2,17.28
20211006T0200,23.4629,0.0,90.0,1008.2,7.2,18.0
20211006T0300,23.1829,0.0,92.0,1007.7,7.145796,17.64
20211006T0400,23.3729,0.0,91.0,1008.1,6.9153743,15.119999
20211006T0500,23.4429,0.0,91.0,1008.8,6.989936,14.759999
20211006T0600,23.5429,0.0,91.0,1009.3,6.763786,10.08
20211006T0700,24.3029,0.0,88.0,1010.1,10.105681,15.119999
20211006T0800,25.332901,0.0,82.0,1010.3,10.8955765,13.679999
20211006T0900,26.7529,0.0,74.0,1010.4,11.542478,13.32
20211006T1000,27.9329,0.0,68.0,1009.6,11.212135,13.32
20211006T1100,28.9129,0.0,63.0,1008.4,10.8955765,13.32
20211006T1200,29.7029,0.0,59.0,1007.5,10.948973,15.119999
20211006T1300,30.1829,0.0,57.0,1006.3,11.177405,15.119999
20211006T1400,30.4329,0.0,56.0,1005.8,10.703569,15.119999
20211006T1500,30.332901,0.0,55.0,1005.3,9.83268,14.4
20211006T1600,29.9829,0.0,56.0,1005.7,9.693296,13.679999
20211006T1700,28.2629,0.0,64.0,1006.4,12.371645,16.199999
20211006T1800,27.3129,0.0,69.0,1007.0,9.178235,13.32
20211006T1900,26.4929,0.0,74.0,1008.0,8.209263,14.759999
20211006T2000,25.8229,0.0,78.0,1008.5,6.9527545,13.32
20211006T2100,25.3129,0.0,81.0,1009.1,6.12,12.959999
20211006T2200,24.8229,0.0,84.0,1008.8,5.8048253,13.32
20211006T2300,24.4029,0.0,87.0,1008.3,5.1919937,13.32
20211007T0000,24.0629,0.0,89.0,1008.0,4.1046314,12.959999
20211007T0100,23.7329,0.0,91.0,1007.5,3.319036,13.32
20211007T0200,23.4629,0.0,92.0,1007.3,2.5455842,12.959999
20211007T0300,23.1929,0.0,94.0,1006.8,1.5273507,11.879999
20211007T0400,23.0529,0.0,94.0,1007.2,0.71999997,11.5199995
