location,Patna,Patna,Patna,Patna,Patna,Patna
lat,25.61087,25.61087,25.61087,25.61087,25.61087,25.61087
lon,85.18255,85.18255,85.18255,85.18255,85.18255,85.18255
asl,44.000,44.000,44.000,44.000,44.000,44.000
variable,Temperature,Precipitation Total,Relative Humidity,Mean Sea Level Pressure,Wind Speed,Wind Gust
unit,°C,mm,%,hPa,km/h,km/h
level,2 m elevation corrected,sfc,2 m,MSL,10 m,sfc
resolution,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None
timestamp,Patna Temperature [2 m elevation corrected],Patna Precipitation Total,Patna Relative Humidity [2 m],Patna Mean Sea Level Pressure [MSL],Patna Wind Speed [10 m],Patna Wind Gust
20211008T0500,25.571499,0.0,77.0,1005.5,6.1305785,5.7599998
20211008T0600,26.1915,0.0,76.0,1006.2,6.9153743,5.7599998
20211008T0700,28.3615,0.0,73.0,1006.6,3.319036,4.32
20211008T0800,31.3515,0.0,61.0,1007.0,3.7064266,5.3999996
20211008T0900,32.771503,0.0,54.0,1007.0,4.73506,7.5599995
20211008T1000,33.2015,0.0,49.0,1006.3,7.6367526,9.36
20211008T1100,33.641502,0.0,47.0,1005.4,8.707238,10.440001
20211008T1200,33.931503,0.0,46.0,1004.4,9.779817,11.5199995
20211008T1300,34.0415,0.0,46.0,1003.6,11.212135,12.959999
20211008T1400,33.8815,0.0,46.0,1002.8,12.682018,12.959999
20211008T1500,32.9415,0.0,48.0,1002.2,13.722565,12.959999
20211008T1600,32.4415,0.0,50.0,1002.5,13.324863,15.4800005
20211008T1700,30.8515,0.1,58.0,1002.6,6.8399997,9.36
20211008T1800,30.1115,0.0,61.0,1002.9,6.379216,11.5199995
20211008T1900,29.4315,0.0,63.0,1003.4,6.28713,13.32
20211008T2000,28.7615,0.0,66.0,1003.9,6.519877,14.759999
20211008T2100,28.0215,0.0,69.0,1004.6,6.4799995,14.759999
20211008T2200,27.411499,0.0,71.0,1004.6,6.924738,14.04
20211008T2300,26.7115,0.0,74.0,1004.5,6.830519,12.959999
20211009T0000,26.0015,0.0,77.0,1004.5,6.830519,11.879999
20211009T0100,25.2915,0.0,80.0,1004.6,6.6185193,10.440001
20211009T0200,24.5615,0.0,83.0,1004.5,6.763786,9.36
20211009T0300,23.8715,0.0,85.0,1004.4,6.6087217,7.92
20211009T0400,23.3115,0.0,87.0,1005.1,6.792466,6.4799995
20211009T0500,22.8315,0.0,88.0,1005.8,6.6087217,5.7599998
20211009T0600,23.8915,0.0,82.0,1006.3,5.4119864,5.04
20211009T0700,26.4815,0.0,72.0,1006.8,3.2599385,4.32
20211009T0800,29.1015,0.0,60.0,1007.2,4.452954,5.04
20211009T0900,30.8515,0.0,55.0,1007.4,5.0911684,6.4799995
20211009T1000,32.1515,0.0,49.0,1006.7,6.8399997,8.28
20211009T1100,33.021503,0.0,44.0,1005.7,7.9526596,7.2
20211009T1200,33.5815,0.0,43.0,1004.7,8.905908,7.92
20211009T1300,33.9515,0.0,40.0,1004.1,9.565437,7.92
20211009T1400,33.9015,0.0,40.0,1003.2,10.163227,8.64
20211009T1500,33.5315,0.0,42.0,1002.4,9.826088,8.64
20211009T1600,32.7915,0.0,44.0,1002.6,9.021574,8.64
20211009T1700,31.3115,0.0,47.0,1003.1,7.172949,10.08
20211009T1800,30.0315,0.0,52.0,1003.7,6.924738,11.159999
20211009T1900,28.8515,0.0,58.0,1004.4,6.830519,12.24
20211009T2000,27.651499,0.0,64.0,1005.0,7.10031,12.599999
20211009T2100,26.4515,0.0,71.0,1005.4,7.289445,14.04
20211009T2200,25.7815,0.0,73.0,1005.5,7.7043357,14.04
20211009T2300,25.2115,0.0,75.0,1005.5,7.928177,14.04
20211010T0000,24.6415,0.0,76.0,1005.6,7.653705,14.4
20211010T0100,24.1815,0.0,78.0,1005.8,7.42159,14.4
20211010T0200,23.7815,0.0,79.0,1005.4,6.4096174,12.959999
20211010T0300,23.2815,0.0,81.0,1005.4,5.991594,12.599999
20211010T0400,22.8115,0.0,84.0,1005.9,5.495161,14.04
20211010T0500,22.411499,0.0,86.0,1006.5,5.1165614,13.32
20211010T0600,23.571499,0.0,81.0,1007.0,5.3999996,9.0
20211010T0700,26.3115,0.0,72.0,1007.7,3.2399998,5.7599998
20211010T0800,28.9315,0.0,61.0,1008.1,3.6179552,4.32
20211010T0900,30.651499,0.0,55.0,1008.2,5.0911684,5.3999996
20211010T1000,31.911499,0.0,51.0,1007.6,6.849467,6.4799995
20211010T1100,32.871502,0.0,47.0,1006.5,7.5599995,8.64
20211010T1200,33.461502,0.0,45.0,1005.5,7.5942073,9.0
20211010T1300,33.801502,0.0,42.0,1004.5,7.2,8.28
20211010T1400,33.771503,0.0,43.0,1003.5,7.92,8.64
20211010T1500,33.4215,0.0,44.0,1002.8,9.0,9.36
20211010T1600,32.7015,0.0,46.0,1003.0,9.007196,9.0
20211010T1700,31.1915,0.0,50.0,1003.5,7.208994,10.799999
20211010T1800,29.8315,0.0,55.0,1004.2,7.10031,11.159999
20211010T1900,28.5815,0.0,61.0,1005.0,7.2,12.24
20211010T2000,27.4415,0.0,66.0,1005.8,7.42159,12.599999
20211010T2100,26.4715,0.0,71.0,1006.2,7.386582,12.599999
20211010T2200,25.901499,0.0,73.0,1006.1,7.386582,12.959999
20211010T2300,25.3915,0.0,75.0,1005.9,7.145796,12.959999
20211011T0000,24.911499,0.0,76.0,1006.0,6.9153743,12.959999
20211011T0100,24.3815,0.0,79.0,1006.1,6.696387,12.24
20211011T0200,23.8415,0.0,81.0,1005.8,6.6087217,11.5199995
20211011T0300,23.3415,0.0,83.0,1005.8,6.297428,10.799999
20211011T0400,22.8615,0.0,85.0,1006.1,6.792466,10.08
20211011T0500,22.4515,0.0,87.0,1006.7,6.792466,9.36
20211011T0600,23.5215,0.0,81.0,1007.1,5.8048253,7.92
20211011T0700,26.2215,0.0,72.0,1007.5,4.802999,5.3999996
20211011T0800,28.7815,0.0,62.0,1007.9,5.634891,4.32
20211011T0900,30.5115,0.0,55.0,1007.8,5.8048253,4.32
20211011T1000,31.8415,0.0,52.0,1007.2,6.489992,5.7599998
20211011T1100,32.571503,0.0,50.0,1006.0,5.4119864,7.2
20211011T1200,33.211502,0.0,49.0,1005.1,6.638072,8.28
20211011T1300,33.591503,0.0,47.0,1004.3,7.2805495,8.64
20211011T1400,33.6315,0.0,46.0,1003.5,8.311245,9.0
20211011T1500,33.321503,0.0,46.0,1002.8,9.0645685,9.36
20211011T1600,32.6015,0.0,47.0,1002.9,9.0,8.28
20211011T1700,31.0315,0.0,51.0,1003.4,7.771331,7.5599995
20211011T1800,29.6915,0.0,56.0,1003.9,8.311245,12.959999
20211011T1900,28.4215,0.0,63.0,1004.3,7.8625183,14.04
20211011T2000,27.2115,0.0,69.0,1004.9,8.089993,14.04
20211011T2100,26.1815,0.0,74.0,1005.5,8.209263,15.4800005
20211011T2200,25.821499,0.0,74.0,1005.3,7.968939,14.4
20211011T2300,25.5315,0.0,74.0,1005.0,7.42159,13.679999
20211012T0000,25.0515,0.0,75.0,1004.9,7.10031,12.959999
20211012T0100,24.3515,0.0,77.0,1004.8,7.5942082,13.679999
20211012T0200,23.491499,0.0,81.0,1004.5,7.9036193,14.759999
20211012T0300,22.8715,0.0,83.0,1004.3,7.4128532,15.119999
20211012T0400,22.411499,0.0,85.0,1004.7,7.24486,15.119999
20211012T0500,21.8415,0.0,87.0,1005.2,7.729527,15.4800005
20211012T0600,23.2115,0.0,81.0,1005.8,6.9247384,13.679999
20211012T0700,26.2015,0.0,72.0,1006.1,5.4833565,8.28
20211012T0800,28.9415,0.0,62.0,1006.9,6.9527545,7.5599995
20211012T0900,30.8415,0.0,56.0,1006.9,7.928178,7.5599995
20211012T1000,32.1915,0.0,52.0,1006.0,8.654986,6.4799995
20211012T1100,33.141502,0.0,50.0,1005.2,8.089993,9.36
20211012T1200,33.7915,0.0,47.0,1004.1,7.208994,8.64
20211012T1300,34.161503,0.0,47.0,1003.5,8.647496,9.72
20211012T1400,34.2215,0.0,47.0,1002.7,10.086427,10.440001
20211012T1500,33.931503,0.0,48.0,1002.0,10.805999,10.440001
20211012T1600,33.211502,0.0,49.0,1002.2,10.440001,10.440001
20211012T1700,31.4515,0.0,54.0,1002.7,8.311245,12.959999
20211012T1800,29.8515,0.0,59.0,1003.5,8.714677,15.4800005
20211012T1900,28.2915,0.0,66.0,1003.9,8.287822,17.28
20211012T2000,26.9815,0.0,71.0,1004.7,8.854829,18.72
20211012T2100,26.0015,0.0,75.0,1005.1,8.427383,19.08
20211012T2200,25.4715,0.0,76.0,1004.9,8.473393,19.8
20211012T2300,24.9415,0.0,78.0,1004.7,8.209263,23.4
20211013T0000,24.3715,0.0,80.0,1004.8,8.209263,17.28
20211013T0100,23.8115,0.0,82.0,1004.8,8.089993,16.919998
20211013T0200,23.2115,0.0,84.0,1004.5,8.225035,17.64
20211013T0300,22.661499,0.0,86.0,1004.4,7.8954163,17.64
20211013T0400,22.2115,0.0,87.0,1004.8,7.8954163,17.64
20211013T0500,21.7915,0.0,89.0,1005.2,7.8954163,23.039999
20211013T0600,23.2315,0.0,81.0,1005.5,8.669949,14.759999
20211013T0700,26.4415,0.0,69.0,1005.9,9.007196,14.04
20211013T0800,29.1415,0.0,60.0,1006.5,9.72,11.159999
20211013T0900,31.0115,0.0,55.0,1007.0,10.182337,9.72
20211013T1000,32.4215,0.0,51.0,1006.1,10.239453,7.92
20211013T1100,33.4415,0.0,47.0,1005.2,10.041354,7.92
20211013T1200,34.1015,0.0,45.0,1004.0,10.308831,8.28
20211013T1300,34.521503,0.0,45.0,1003.1,11.525623,10.08
20211013T1400,34.751503,0.0,41.0,1002.1,11.874544,10.440001
20211013T1500,34.3515,0.0,42.0,1001.5,13.138765,10.440001
20211013T1600,33.4515,0.0,45.0,1001.6,12.371645,8.64
20211013T1700,31.5315,0.0,50.0,1002.1,9.028754,14.759999
20211013T1800,29.821499,0.0,56.0,1002.7,9.793058,17.28
20211013T1900,28.0415,0.0,63.0,1003.0,8.891344,19.08
20211013T2000,26.5515,0.0,68.0,1003.9,8.854829,21.599998
20211013T2100,25.4215,0.0,73.0,1004.8,8.0899935,18.359999
20211013T2200,25.0615,0.0,73.0,1004.6,8.217153,17.64
20211013T2300,24.661499,0.0,74.0,1004.2,8.534353,17.64
20200930T0000,28.2015,0.0,72.0,1003.1,5.8048253,8.28
20200930T0100,27.5815,0.0,75.0,1002.8,6.12,7.92
20200930T0200,27.0215,0.0,77.0,1002.2,6.28713,7.92
20200930T0300,26.5515,0.0,79.0,1001.8,6.151683,7.92
20200930T0400,26.2215,0.0,80.0,1002.0,5.634891,7.5599995
20200930T0500,25.9215,0.0,81.0,1002.5,5.3517847,5.3999996
20200930T0600,26.7215,0.0,79.0,1003.0,5.0528407,4.68
20200930T0700,29.2015,0.0,74.0,1003.4,1.9386592,2.8799999
20200930T0800,31.651499,0.0,64.0,1004.1,1.1384199,2.52
20200930T0900,33.1715,0.0,55.0,1004.2,2.7416782,4.68
20200930T1000,33.911503,0.0,47.0,1004.2,4.1046314,4.68
