location,Mumbai,Mumbai,Mumbai,Mumbai,Mumbai,Mumbai
lat,19.04972,19.04972,19.04972,19.04972,19.04972,19.04972
lon,72.87594,72.87594,72.87594,72.87594,72.87594,72.87594
asl,6.200,6.200,6.200,6.200,6.200,6.200
variable,Temperature,Precipitation Total,Relative Humidity,Mean Sea Level Pressure,Wind Speed,Wind Gust
unit,°C,mm,%,hPa,km/h,km/h
level,2 m elevation corrected,sfc,2 m,MSL,10 m,sfc
resolution,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None
timestamp,Mumbai Temperature [2 m elevation corrected],Mumbai Precipitation Total,Mumbai Relative Humidity [2 m],Mumbai Mean Sea Level Pressure [MSL],Mumbai Wind Speed [10 m],Mumbai Wind Gust
20211007T1400,32.4683,0.0,61.0,1005.3,1.8,5.04
20211007T1500,32.5483,0.0,61.0,1004.9,4.0249224,5.7599998
20211007T1600,31.1483,0.3,65.0,1005.0,6.379216,7.2
20211007T1700,29.8283,0.0,76.0,1005.1,9.0,7.92
20211007T1800,28.8483,0.0,82.0,1005.6,8.404285,8.64
20211007T1900,28.3683,0.0,87.0,1006.2,6.638072,7.2
20211007T2000,27.9583,0.0,89.0,1006.8,6.151683,7.2
20211007T2100,27.528301,0.0,91.0,1007.1,6.130579,9.72
20211007T2200,27.0783,0.0,92.0,1007.1,6.12,9.72
20211007T2300,26.6483,0.0,92.0,1006.7,6.489992,8.64
20211008T0000,26.3683,0.0,92.0,1006.8,8.12197,12.24
20211008T0100,26.2183,0.0,93.0,1006.7,9.360001,20.519999
20211008T0200,26.1683,0.0,93.0,1006.6,8.854829,9.36
20211008T0300,25.8783,0.0,94.0,1006.2,7.2359104,10.08
20211008T0400,25.7283,0.0,94.0,1006.5,7.6367526,12.599999
20211008T0500,25.8783,0.2,93.0,1007.4,7.92,10.440001
20211008T0600,25.9983,0.4,92.0,1008.0,7.5685663,11.159999
20211008T0700,26.7983,0.0,87.0,1008.7,9.746631,17.28
