location,Ahmedabad,Ahmedabad,Ahmedabad,Ahmedabad,Ahmedabad,Ahmedabad
lat,23.04292,23.04292,23.04292,23.04292,23.04292,23.04292
lon,72.54681,72.54681,72.54681,72.54681,72.54681,72.54681
asl,55.400,55.400,55.400,55.400,55.400,55.400
variable,Temperature,Precipitation Total,Relative Humidity,Mean Sea Level Pressure,Wind Speed,Wind Gust
unit,°C,mm,%,hPa,km/h,km/h
level,2 m elevation corrected,sfc,2 m,MSL,10 m,sfc
resolution,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None
timestamp,Ahmedabad Temperature [2 m elevation corrected],Ahmedabad Precipitation Total,Ahmedabad Relative Humidity [2 m],Ahmedabad Mean Sea Level Pressure [MSL],Ahmedabad Wind Speed [10 m],Ahmedabad Wind Gust
20211007T2000,34.626102,0.0,40.0,1005.4,4.829907,5.3999996
20211007T2100,33.9961,0.0,42.0,1005.9,5.506941,7.2
20211007T2200,33.2561,0.0,44.0,1006.1,6.489992,9.36
20211007T2300,32.466103,0.0,47.0,1005.7,6.379216,11.159999
20211008T0000,31.726099,0.0,50.0,1005.6,5.95906,8.64
20211008T0100,31.1061,0.0,53.0,1005.5,5.495161,8.28
20211008T0200,30.6961,0.0,56.0,1005.2,5.0911684,7.92
20211008T0300,30.226099,0.0,59.0,1005.1,5.692099,9.0
20211008T0400,29.636099,0.0,62.0,1005.3,5.315336,13.679999
20211008T0500,29.1461,0.0,66.0,1006.0,3.219938,11.879999
20211008T0600,28.726099,0.0,69.0,1006.6,2.4149535,8.64
20211008T0700,28.8461,0.0,70.0,1007.2,3.319036,7.92
20211008T0800,30.886099,0.0,61.0,1007.9,3.8773184,5.7599998
20211008T0900,32.8161,0.0,52.0,1008.4,6.4096174,7.5599995
20211008T1000,34.4161,0.0,47.0,1008.2,4.8965297,6.4799995
20211008T1100,35.4261,0.0,40.0,1007.1,5.0528407,7.92
20211008T1200,36.0661,0.0,37.0,1006.5,3.2599385,3.96
20211008T1300,36.4161,0.0,35.0,1006.0,3.219938,6.4799995
20211008T1400,36.5261,0.0,34.0,1005.3,2.8116899,6.12
20211008T1500,36.4361,0.0,34.0,1004.7,2.8116899,5.3999996
20211008T1600,36.1361,0.0,35.0,1004.5,2.3051248,4.32
20211008T1700,36.4561,0.0,34.0,1003.6,5.506941,9.0
20211008T1800,35.536102,0.0,35.0,1004.0,1.1384199,9.72
20211008T1900,34.7261,0.0,38.0,1004.6,3.2599385,9.36
20211008T2000,34.0861,0.0,40.0,1005.1,5.1544156,10.08
20211008T2100,33.556103,0.0,43.0,1005.5,6.28713,8.64
20211008T2200,31.956099,0.0,51.0,1005.8,8.209263,10.799999
20211008T2300,30.5361,0.0,61.0,1005.7,8.891344,13.32
20211009T0000,29.6161,0.0,69.0,1005.6,9.360001,15.119999
20211009T0100,29.2661,0.0,72.0,1005.7,9.178235,15.119999
20211009T0200,28.8661,0.0,74.0,1005.3,7.9036193,15.4800005
20211009T0300,28.3461,0.0,78.0,1005.1,7.5170207,13.679999
20211009T0400,27.876099,0.0,81.0,1005.6,7.69592,12.24
20211009T0500,27.4861,0.0,84.0,1006.5,7.2805495,9.72
20211009T0600,27.4861,0.0,79.0,1007.1,2.16,7.2
20211009T0700,28.2561,0.0,72.0,1007.6,2.8799999,5.3999996
20211009T0800,30.0861,0.0,62.0,1008.1,1.9386592,4.68
20211009T0900,32.0261,0.0,52.0,1008.7,2.3051248,3.6
20211009T1000,33.5061,0.0,48.0,1008.5,2.9024127,2.16
20211009T1100,34.6561,0.0,43.0,1007.7,3.96,5.3999996
20211009T1200,35.5261,0.0,37.0,1007.0,4.3349743,10.08
20211009T1300,36.2461,0.0,33.0,1006.5,3.2399998,8.64
20211009T1400,36.5461,0.0,32.0,1005.6,2.9024127,5.3999996
20211009T1500,36.6161,0.0,32.0,1004.8,3.2399998,9.36
20211009T1600,36.4161,0.0,33.0,1004.6,3.8773184,7.5599995
20211009T1700,35.896103,0.0,34.0,1005.0,4.6102495,10.440001
20211009T1800,34.986103,0.0,36.0,1005.6,2.2768397,11.159999
20211009T1900,33.896103,0.0,40.0,1006.0,6.297428,11.879999
20211009T2000,32.396103,0.0,49.0,1006.8,7.928177,10.799999
20211009T2100,31.4961,0.0,55.0,1007.6,8.404285,10.440001
20211009T2200,30.6461,0.0,61.0,1007.9,8.435069,10.440001
20211009T2300,29.8361,0.0,66.0,1007.5,7.9932966,11.159999
20211010T0000,29.1761,0.0,72.0,1007.5,8.217153,12.24
20211010T0100,28.6761,0.0,76.0,1007.4,7.8954163,15.4800005
20211010T0200,28.226099,0.0,79.0,1006.8,6.763786,12.599999
20211010T0300,27.8261,0.0,82.0,1006.5,6.439876,8.64
20211010T0400,27.4861,0.0,84.0,1006.8,5.815978,9.36
20211010T0500,27.1761,0.0,86.0,1007.6,5.0911684,9.0
